Actor I;Supply I;Actor J;Supply J
SP;0;0;0;0;5.370182402711663128853278708;5.370182402711663128853278708;5.370182402711663128853278708;5.370182402711663128853278708;5.370182402711663128853278708;5.370182402711663128853278708;5.370182402711663128853278708
CU;40;40;40;40;40;40;40;40;40;40;40
CDA;55;55;55;55;55;55;55;55;55;55;55
D66;80;80;80;80;80;80;80;80;80;80;80
PvdD;30;30;30;30;30;30;30;30;30;30;30
PvdA;20;20;20;20;20;20;20;20;20;20;20
PVV;10;10;10;10;10;10;10;10;10;10;10
GL;70;70;70;70;70;70;70;70;70;70;70
VVD;100;100;100;100;100;100;100;100;100;100;100
SGP;15;15;15;15;15;15;15;15;15;15;15
nbs;45.65208526363549625570619116;45.65208526363549625570619116;45.65208526363549625570619116;46.39156654789354387353276412;46.39156654789354387353276412;46.39156654789354387353276412;46.39156654789354387353276412;46.39156654789354387353276412;46.39156654789354387353276412;46.39156654789354387353276412
